"","name","0","6","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","7","91","92","93","94","95","96","97","98","99","100","5","4"
"1","Albemarle",46166,61,154,258,675,1113,1597,2124,3739,6452,6284,7699,10856,14410,16633,18163,22191,22519,25775,26510,29092,29972,27688,25842,25529,21410,21006,20757,20026,20428,20778,21738,21848,22299,23077,23709,23627,24273,24622,24551,24443,24358,24162,24049,22981,22773,22406,20743,19592,17282,15877,14191,12758,11575,10384,9525,8925,8654,7062,6173,5022,4490,3464,2898,2330,1932,1746,1849,1272,1114,828,709,468,347,200,176,155,163,68,4,3,3,2,2,0,91,0,0,0,0,0,0,0,0,0,0,30,6
"2","Augusta",45253,0,0,0,1,2,17,157,158,206,253,300,441,621,911,1156,1778,2262,3235,4198,5786,7565,10278,13087,15596,17987,21094,23282,23307,25676,29719,25786,27196,26325,25963,25480,24630,22802,21068,21162,18754,17566,17370,15514,14092,11422,10072,9202,7567,7260,6244,5701,5278,4797,4331,3744,3374,2899,2517,2319,1800,1420,1341,1325,971,818,614,353,268,342,114,56,77,26,15,14,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Clarke",8741,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,4,14,25,35,43,51,55,99,175,257,386,546,598,671,934,1118,2169,3618,3971,3677,3972,4338,5061,5651,6526,6690,6719,6744,5854,5713,5516,5368,5617,5089,4343,3965,3447,3171,2699,2472,2101,2234,2060,1800,2061,1633,1443,1404,1157,1033,995,989,733,660,551,365,341,268,243,185,175,150,119,76,73,55,48,0,44,30,26,22,14,9,6,1,5,5,0,0
"4","Culpeper",24370,0,0,0,12,86,112,144,149,195,200,232,303,1596,2463,4771,8174,7596,6972,8437,6908,7379,7015,6915,7768,7697,8483,8066,8973,9623,9836,10057,9302,8386,8377,9759,10595,10064,13618,13097,12758,13090,9222,8622,8710,8876,8798,9063,8597,8301,8043,7880,7929,7469,7561,7750,7651,7082,6682,6303,5784,5727,5262,4776,4610,4612,4138,3223,2304,1985,1779,1633,1349,1106,817,845,484,160,104,59,9,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Fauquier",33936,0,1,0,9,181,323,603,1054,1183,1360,1553,1964,2503,3930,4198,4421,4971,6738,7141,6826,6626,6843,11105,13914,13260,12556,15602,17357,14658,12858,11933,11697,12490,12105,12312,14304,14254,12597,14599,13887,11984,11856,11035,10806,11133,11317,11033,11400,11146,11041,11342,10730,10518,10133,9892,10391,9823,9051,8499,8126,8034,7715,6623,6202,6712,6099,5052,4795,4075,4292,3911,3384,3021,2499,2103,2284,1435,1286,1370,1266,463,220,168,58,2,28,23,5,7,5,0,0,0,0,0,0,0
"6","Frederick",29599,1,5,12,18,18,28,95,266,439,704,1419,2860,3621,4359,4798,5184,5911,6947,7909,9082,10636,12588,13389,13791,14912,16015,17110,17545,18501,19681,20193,20335,20695,20332,21061,21172,21051,20246,18671,17852,16957,15844,15088,14052,12829,11629,10810,10715,9953,9053,8528,7997,7145,6279,5762,4970,4421,3708,3089,2764,2521,2115,1728,1663,1200,1069,829,634,393,248,180,93,72,44,49,11,12,15,5,3,4,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Greene",10098,0,0,0,4,6,11,16,13,16,29,75,227,359,602,1100,1862,2904,4472,6060,7113,7256,7022,7453,7212,6906,7634,6025,5385,4749,4640,4112,4036,3844,3665,3758,3669,3483,3622,3616,3688,3730,3757,4061,3874,3704,3438,3433,3301,3079,2701,2564,2412,2129,2037,1770,1488,1286,1239,1013,931,782,692,550,499,369,374,324,292,284,307,205,140,107,84,51,34,19,13,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Loudoun",30858,16,26,39,34,38,27,50,2769,373,646,1335,1731,1162,853,897,1288,2253,2667,2013,1807,2899,2438,2199,2626,3811,7083,7969,9552,13904,15155,13666,11966,11253,10526,9731,9130,9150,8172,7855,7715,6721,6038,5572,4855,4982,4697,5018,5106,5356,5348,5622,5922,6121,6250,6359,6476,6391,6838,6269,6343,6189,5986,6284,6104,6768,5962,4853,4114,4011,3607,3021,3565,3067,2400,2088,1618,1188,733,770,451,247,121,77,37,37,28,5,3,0,0,0,0,0,0,0,0,0
"9","Madison",19028,0,0,1,3,9,22,41,83,128,274,451,560,812,1594,3123,5477,7719,8650,10300,10626,11057,10898,10803,10896,10702,10561,12162,10129,9146,8806,8537,9074,9325,6763,6585,6552,6561,6608,6344,6534,6724,6861,7043,7544,7616,7357,6890,6358,5926,5312,4712,4425,4091,3911,3426,3317,2973,2544,2223,1829,1522,1200,970,879,855,522,374,292,251,276,169,112,92,81,112,52,37,16,12,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Orange",22114,0,1,45,155,216,206,237,496,703,1227,3244,3430,13838,10170,11582,11924,9026,7549,7087,7135,7984,6952,7243,7860,10251,10944,12014,11145,10998,9040,8464,8866,8337,8330,8830,8618,8793,8578,8878,9007,9180,9226,9245,9174,9178,9095,8934,8880,8204,8245,8066,7739,6896,6407,5877,5829,5493,5034,4864,4482,3970,3758,3640,3084,2568,2154,1812,1447,1187,1123,1155,900,707,502,448,362,291,330,286,217,91,43,20,14,0,8,1,0,3,1,0,0,0,0,0,0,0
"11","Page",14553,0,0,0,0,0,0,0,0,0,16,23,40,80,70,113,174,195,355,428,554,916,1373,1907,3215,4682,5352,6130,7415,8747,9640,11192,12111,12908,13925,14672,14395,14045,13654,13156,12216,11692,10966,10259,8999,8321,7378,6725,6347,5397,4436,3972,3648,3242,2972,2698,2315,2213,1853,1728,1581,1216,1047,907,940,630,548,521,496,148,173,111,111,29,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Rappahannock",13576,0,2,8,11,18,107,175,578,958,1332,1674,2505,3913,4882,6673,8400,9201,9334,9534,9711,9424,9232,8774,8066,8018,6842,6458,5466,5033,4958,4472,4334,4401,4408,4701,4796,5112,5317,5282,5604,5682,5798,5690,5738,5648,5808,5682,5285,5036,4819,4983,4697,4493,3996,3632,3245,2750,2174,1801,1489,1343,1072,901,764,576,551,505,319,291,167,138,91,77,48,31,16,6,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Rockingham",33008,1,39,27,29,18,11,26,34,173,771,1136,1550,2608,2356,2386,2394,2696,3446,3874,6911,8149,8587,9599,9774,11331,12077,13113,14854,16513,17322,17819,20104,18942,20332,20689,22449,23160,23705,24275,23860,22894,22305,20597,18888,16769,15193,13913,12365,10980,9873,8861,8301,7413,7116,6216,5546,5220,4806,4077,3866,3521,2998,2745,2221,1965,1405,1177,1088,830,634,436,401,199,244,75,14,2,7,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"14","Shenandoah",27318,0,0,0,0,0,0,0,0,1,4,6,18,20,23,57,120,232,340,544,866,1292,1548,2208,2678,2988,3688,4670,5608,6613,7387,9046,10450,11691,13269,15240,17344,19702,20566,21745,23802,24084,25063,25194,25052,22959,21072,19526,18111,15627,13697,12528,11349,10089,9403,9197,7981,6941,6591,5693,5537,4793,4262,3700,2971,2524,1992,1717,1165,812,779,562,556,274,124,115,148,23,6,4,6,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Warren",14116,0,0,0,0,0,0,0,0,0,0,3,5,6,0,8,3,17,29,47,87,160,175,202,313,549,808,1020,1329,1718,1879,2129,2426,2926,3541,4090,5151,6025,6343,7064,7661,8315,8643,9268,9616,9919,10058,10302,10593,10562,10415,10423,10197,9713,9071,8204,7838,6866,6012,5550,4834,4034,3511,3016,2273,2115,1810,1514,1354,1245,1119,951,853,723,612,503,422,346,291,242,203,133,106,84,91,0,18,25,0,0,0,0,0,0,0,0,0,0
